"sisters, group, named",0
"great grandfather, named",0
"noblewoman, named",0
"nobleman, named",0
"European country, other named",0
"sons, group, named",0
"brothers, group, named",0
"son, named",0
"daughters, group, named",0
"daughter, named",0
youthful desire for vocation or work,1
"elocution, correct or proper language",1
supernatural or ghost,1
dying or deathbed,1
dream or dreaming,1
emigration or immigration,1
energetic or untiring,1
"faith, doubting or lacking",1
failure as persona's misconduct or flaw,1
doubt of occupation or vocation,1
"speculation, possible motives or causes",1
"family, occupation of parents or ancestors",1
fans or admirers without personal access,1
"female patient, private or rich",1
"figureOrImage, ghost or spirit",1
"figureOrImage, home or shelter",1
"figureOrImage, sailor or mariner",1
"figureOrImage, synecdoche or metonymy",1
food or sustenance,1
"food, feeding or eating",1
enslaved person or persons,1
taste,1
"test or trial, physical",1
temptation of status or goods,1
"attachment, family bonding or not",1
willful or stubborn,1
barn or stable,1
bathing or washing own body,1
wagon or cart,1
biographer other than narrator,1
bureaucrat or bourgeois,1
calling or vocation,1
"calling or vocation choice, considered",1
"calling or vocation choice, decision",1
caregiving other than nursing,1
"character, fictional or imaginary",1
childhood or upbringing,1
triumph over enemy,1
triumph as fulfilled goal or ambition,1
clergyman or clergy,1
"travel, short distance or frequent",1
controversy of religious practice or affiliation,1
tomb or grave,1
dedicated or devoted,1
demonstration or march,1
"test or trial, spiritual",1
test or trial other than physical or spiritual,1
"dining or meals, habitual",1
foster or adoptive family unspecified,1
gift giving,1
assignment or new responsibility,1
"needlework or sewing, necessary",1
"needlework or sewing, optional",1
"needlework or sewing, paid",1
neighbor or neighbors,1
receiving letter or message,1
"rage, tantrum, or outburst by persona",1
obedience or submission,1
"rage, tantrum, or outburst by other",1
open-minded or tolerant,1
opponent or enemy,1
patient or enduring,1
rejection by lover,1
patron of mistress,1
"persecution, gender or sexual",1
"personification, concept or value",1
"physical contact with child or children, unspecified",1
planning or plotting,1
pledge or promise,1
prison release or parole,1
procession or parade,1
protege or protegee,1
quotation or phrase or word in modern language,1
quotation or phrase or word in classical language,1
quitting or resigning job,1
periods or times compared,1
free indirect,1
rejection of lover,1
"religion, prejudice or hostility between sects of same",1
gossip or spreading rumor,1
greedy or mercenary,1
sending letter or message,1
hiding things or goods,1
hoax or trick,1
self-sacrificing,1
self-promoting or showy,1
holy or angelic,1
"home, convalescent or institutional",1
hunger or thirst,1
idealistic or unmaterialistic,1
"military force, small or unspecified",1
idiom or cliche,1
sacrifice or renunciation of self-interest or desire,1
"sacred or divine, unidentified",1
"sacred or divine, named",1
"sacred or divine, epithet or indirect reference to known",1
"injury or wound, agent's",1
"injury or wound, persona's",1
youthful desire for love,1
"inspiration, literary or artistic",1
"iterative, repeating or persistent",1
ripe or sexually attractive,1
maternal or nurturing,1
imprisonment of persona's family or intimate,1
assailant or criminal,1
quitting or resigning group,1
apparition or haunting,1
"animal, domestic or pet, named",1
abandonment by family,1
Society or elite,1
Sunday churchgoing or sabbath,1
accident harming others,1
"United States, as traveler or immigrant",1
"abandonment by partner, lover or friend",1
"England, as traveler or immigrant",1
"animal, domestic or pet, unnamed",1
"quotation, group, unique",2
literary analysis,2
"quotation, fiction",2
"quotation, drama",2
"quotation, previous biography of persona",2
"quotation, biblical",2
"cad, exploiter",2
"quotation, poetry",2
"emphasis in typeface, punctuation",2
"quotation, agent's speech, unique",2
"allusion literary, reference",2
"quotation, documentary source, persona's lifetime",2
"quotation, hymn",2
"quotation, historical text",2
"quotation, persona writings biography",2
"quotation, persona writings poetry",2
"quotation, sage or philosopher",2
"quotation, persona writings journalism",2
"quotation, unidentified",2
"quotation, persona writings history",2
"quotation, persona writings fiction",2
publication,2
"quotation, persona letters",2
"quotation, agent's letter to persona",2
"quotation, agent's writing about persona",2
translation,2
"quotation, persona writings advocacy or reform",2
"quotation, persona writings advice",2
"quotation, persona writings about self",2
"quotation, persona speech, unique",2
"quotation, persona speech, often said",2
"quotation, agent's speech, often said",2
"mission, social, children",3
church service,3
"office, business",3
"business, starting",3
"running, emergency",3
"business failure, bankruptcy",3
joining group,3
"business, managing",3
hosting by agents,3
retirement from job or position,3
building construction,3
"travel, government assignment",3
"figureOrImage, science or technology",3
fired from job,3
"meeting, public",3
work as social service,3
"project, reform or new system",3
manager or agent in profession,3
"project, new organization",3
working as volunteer,3
"animal, working",3
"male, business or property owner",3
"project, new building",3
"service to family, housekeeping",3
working as paid occupation,3
government building,3
community,3
"service to family, assistant, scientific",3
visiting by agents,3
"service to family, assistant, clerical",3
"training, professional school or program",3
"service to family, assistant, arts",3
"trade, commerce",3
hired for job,3
"figureOrImage, building",3
field,3
appointment to office,3
"work accomplished, art",3
ladylike,4
childlike,4
masculine,4
clever,4
ambitious,4
lively,4
mischievous,4
restless,4
physically daring,4
cheerful,4
fashionable,4
dignified,4
socially daring,4
studious,4
playful,4
frugal,4
elegant,4
artistic,4
persuasive,4
eccentric,4
"humorous, unintentionally",4
"humorous, witty",4
tasteful,4
hospitable,4
sexually disreputable,4
"figureOrImage, night",5
"figureOrImage, weather",5
happy,5
good,5
great,5
evening,5
day,5
summer,5
afternoon,5
morning,5
"figureOrImage, day",5
"Christmas Eve, 1878",5
"weather, good",5
"weather, bad",5
night,5
"Christmas, 1827",5
winter,5
Christmas,5
"father, unnamed",6
"daughter, unnamed",6
"nobleman, unnamed",6
"aunt, unnamed",6
"noblewoman, unnamed",6
"son, unnamed",6
"sons, group, unnamed",6
"sister, unnamed",6
"brothers, group, unnamed",6
"daughters, group, unnamed",6
"grandmother, unnamed",6
"boy, unrelated, unnamed",6
"brother, unnamed",6
"mother, unnamed",6
"grandfather, unnamed",6
"stepmother, unnamed",6
"sisters, group, unnamed",6
"stepfather, unnamed",6
"girl, unrelated, unnamed",6
"uncle, unnamed",6
hunting,7
camping,7
"hiking, climbing",7
hospital,8
"illness, mental",8
"illness, nonfamily individual",8
"illness, recurrent or epidemic",8
"illness, persona's",8
"illness, family",8
disability,8
recovery from illness,8
natural disaster,8
travel due to illness,8
addiction,8
cottage,9
agricultural,9
"figureOrImage, agriculture",9
village,9
"animal, farm",9
"figureOrImage, plant",9
farming,9
forfeiting property,9
farm,9
gardening,9
farmer,9
"female object, unnamed",10
"female servant, unnamed",10
"female relative, unnamed, other",10
"female superior, unnamed",10
"female superiors, group, unnamed",10
disloyal,10
"female professional, unnamed",10
"male servant, unnamed",10
"male relative, unnamed, other",10
"lover, female, unnamed",10
"male coworker, unnamed",10
"lover, male, unnamed",10
"male object, unnamed",10
"male superior, unnamed",10
"male superiors, group, unnamed",10
"female coworker, unnamed",10
"male professional, unnamed",10
"recognition, window",11
"recognition, written praise",11
"fame, posthumous",11
"recognition, statue",11
"recognition, title",11
"recognition, spoken praise",11
execution,11
publicity,11
"recognition, building",11
"recognition, portrait",11
"recognition, plaque",11
"education, attending day school",12
"school, arts",12
"school, managing",12
"school, other",12
"school, Sunday",12
"school, village",12
"school, boarding",12
"school, public or state",12
"school, founding",12
library,12
teacher,12
middle,12
"school, reformatory",12
lecture hall,12
university,12
church,12
"education, attending boarding school",12
student or students,12
"evidence questioned, agent's",13
slander,13
hostility,13
punishment,13
"political movement, temperance",13
prophecy,13
"focalization, attributing motives",13
"solitude, loneliness",13
poverty,13
forgiveness,13
sinful,13
secrecy,13
prayer,13
wealth,13
faith,13
profanity,13
preaching,13
adversity,13
conservatism,13
"persecution, racial",13
"corporate, secular institution",13
dialogue,13
debt,13
despair,13
writing religious tract,13
insulting,13
"corporate, religious",13
irony,13
religious rite,13
narrator's negativity,13
delusion or hallucination,13
curse,13
liberal,13
"persecution, religious",13
jealousy,13
salvation,13
"religion, prejudice or hostility against non-Christians",13
idle,13
surrender,13
disgrace,13
"persecution, political",13
"religion, prejudice or hostility against Protestants",13
disguise,13
dishonest or deceitful,13
patriotism,13
conservative,13
treason,13
"religion, prejudice or hostility against Catholics",13
hypocrisy,13
lawyer,14
riot,14
civil rights,14
asylum,14
fleeing the law,14
"trial, acquittal",14
trial in law court,14
"court, royal",14
court of law,14
"mission, religious, foreign",14
"corporate, government",14
"corporate, political party",14
freedom,14
debate,14
arrest,14
imprisonment of agent,14
"political leader, elected",14
violent,14
police,14
prison,14
prison visit,14
prisoner,14
journalist,14
domestic violence,14
"political movement, civil rights",14
election,14
threat,14
scandal,14
"war, international",14
"sexual assault, attempted rape",14
labor,14
"war, civil",14
campaign,14
spying,14
"royalty, male",15
"female peer, historical",15
"female peer, contemporary",15
independent,15
"allusion to male, narrator's contemporary",15
"sovereign, male",15
"contemporary observer, female",15
"sovereign, female",15
"male peer, historical",15
"male peer, contemporary",15
"professor, educator, scholar",15
"contemporary observer, male",15
"allusion to male, persona's contemporary",15
"figureOrImage, desert",16
"figureOrImage, devil",16
"figureOrImage, king",16
"figureOrImage, light",16
"figureOrImage, flower",16
"figureOrImage, magic",16
"figureOrImage, heaven",16
lady braving dark space,16
"figureOrImage, queen",16
"figureOrImage, rock",16
"figureOrImage, saint",16
ship,16
pride,16
Empire,16
madness,16
rescue,16
revenge,16
revolution,16
forest,16
abbey,16
lady braving battlefield,16
palace,16
"figureOrImage, warrior",16
"figureOrImage, fairy or fairies",16
"figureOrImage, dark",16
battle,16
dawn,16
"animal, wild",16
escape,16
wild,16
storm,16
adventure,16
circus,16
"figureOrImage, bird",16
cross_dressing,16
castle,16
"figureOrImage, angel",16
death or loss of spouse,17
death or loss of mother,17
death or loss of child,17
death or loss of sister,17
birth,17
"child or children, related",17
praying,17
"death, nonfamily, woman",17
poor,17
child abuse,17
death or loss of male relative,17
innocent,17
"death, nonfamily, man",17
"death, nonfamily, girl",17
"death, nonfamily, boy",17
death or loss of female relative,17
death or loss of father,17
death or loss of brother,17
suicide,17
"death, persona's",17
"figureOrImage, heart",17
death of animal,17
memory,17
suicide attempt,17
guilty,17
adoption of child,17
writing scientific,18
writing journalism,18
writing travel,18
writing history,18
writing other,18
writing letter,18
"work accomplished, writing",18
"writing, poetry",18
writing sermon or speech,18
writing diary,18
writing essay or educational text,18
writing philosophy,18
writing drama,18
paraphrase of writing,18
writing poetry,18
writing music,18
writing autobiography,18
writing biography,18
writing novel,18
reading,18
