,class
"writing, poetry ; type",0
teaching adults ; type,0
teaching arts or crafts ; type,0
teaching children ; type,0
teaching domestic skills ; type,0
teaching literacy or reading ; type,0
"teaching, religious ; type",0
managing ; type,0
learning language ; type,0
"training, professional school or program ; type",0
"introduction, first social encounter ; type",0
"travel, government assignment ; type",0
"travel, international ; type",0
writing travel ; type,0
"drawing, amateur ; type",0
"training, practical experience ; type",0
"education, arts ; type",0
"meeting, public ; type",0
"nursing, local amateur ; type",0
"school, founding ; type",0
"school, managing ; type",0
reading ; type,0
building construction ; type,0
"public speaking, nonreligious ; type",0
"business, managing ; type",0
"mission, social, children ; type",0
"business, starting ; type",0
"project, new building ; type",0
"painting, professional ; type",0
"painting, amateur ; type",0
"consultation, advice ; type",0
"nursing, professional ; type",0
"nursing, military ; type",0
"project, new organization ; type",0
"education, higher ; type",0
"investing, finance ; type",0
"education, secondary ; type",0
writing diary ; type,0
writing drama ; type,0
writing essay or educational text ; type,0
writing for children ; type,0
"education, private lessons ; type",0
writing history ; type,0
writing a will ; type,0
writing journalism ; type,0
writing letter ; type,0
writing music ; type,0
"work accomplished, writing ; type",0
"work accomplished, art ; type",0
writing novel ; type,0
writing other ; type,0
writing biography ; type,0
writing philosophy ; type,0
writing autobiography ; type,0
writing sermon or speech ; type,0
exhibition ; type,0
writing poetry ; type,0
writing scientific ; type,0
noon ; timeOfDay,1
January 1789 ; dateSingle,1
July 4 ; dateSingle,1
July ; dateSingle,1
June 15 ; dateSingle,1
27 June 1743 ; dateSingle,1
"October 15, 1917 ; dateSingle",1
"March 14, 1872 ; dateSingle",1
"March 30, 1844 ; dateSingle",1
Dec 10 1872 ; dateSingle,1
October ; dateSingle,1
October 6 ; dateSingle,1
"June 3, 1843 ; dateSingle",1
June 21 ; dateSingle,1
"contemporary observer, female ; agentType",2
"rival, female ; agentType",2
"contemporary observer, male ; agentType",2
"female assistant, secretary ; agentType",2
"rival, male ; agentType",2
male group ; agentType,2
"crowd, male ; agentType",2
female servants ; agentType,2
"female peer, historical ; agentType",2
"female peer, contemporary ; agentType",2
"female patient, poor ; agentType",2
"royalty, female ; agentType",2
female objects ; agentType,2
female group ; agentType,2
"male adult, other ; agentType",2
"male assistant, secretary ; agentType",2
"crowd, female ; agentType",2
male companion on journey ; agentType,2
"female companion, life partner ; agentType",2
female companion on journey ; agentType,2
"male companion, life partner ; agentType",2
male coworkers ; agentType,2
male objects ; agentType,2
"male patient, poor ; agentType",2
"male peer, contemporary ; agentType",2
"male peer, historical ; agentType",2
male servants ; agentType,2
female coworkers ; agentType,2
"royalty, male ; agentType",2
"female adult, other ; agentType",2
"sovereign, female ; agentType",2
"sovereign, male ; agentType",2
adult ; agentType,2
lake ; locationSetting,3
fort ; locationStructure,3
"shop, millinery ; locationStructure",3
"animal, farm ; agentType",3
"animal, wild ; agentType",3
opera house ; locationStructure,3
"cad, exploiter ; agentType",3
farm ; locationStructure,3
village ; locationSetting,3
forest ; locationSetting,3
valley ; locationSetting,3
canal ; locationSetting,3
"con artist, trickster ; agentType",3
hotel or inn ; locationStructure,3
club ; locationStructure,3
